[4/21/23 12:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Starter Helm, id: 703, amount: 1, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Andy	
[4/21/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Andy	
