[4/23/23 03:54AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 03:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 04:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 04:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 04:04AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 04:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 04:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
[4/23/23 04:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dustspray	
[4/23/23 04:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dustspray	
