[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Norman	
[4/19/23 11:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Norman	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 1525092, owner: Norman	
[4/19/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Norman	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 2850330, owner: Norman	
[4/19/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Norman	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Norman	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Norman	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Norman	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Norman	
[4/19/23 12:07PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Voki	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Norman	
[4/19/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Norman	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 2845407, owner: Norman	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Norman	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Norman	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Norman	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Norman	
[4/19/23 12:20PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Immortal	
[4/20/23 12:04PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Mr Pokley	
[4/20/23 12:04PM] Player picked up item: Solar Hood, id: 15645, amount: 1, owner: Mr Pokley	
[4/20/23 01:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Norman	
[4/20/23 01:32PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Norman	
[4/22/23 03:04PM] Player picked up item: Coin, id: 995, amount: 4570832, owner: Norman	
[4/22/23 03:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Norman	
