[4/19/23 11:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Omen	
[4/19/23 11:41AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Omen	
[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Omen	
[4/19/23 11:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Omen	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 2973693, owner: Omen	
[4/19/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Omen	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Omen	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Omen	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Omen	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Omen	
[4/19/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 630, owner: Inherited	
[4/19/23 11:59AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Omen	
[4/19/23 12:03PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Omen	
