[4/16/23 04:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bobby O	
[4/16/23 04:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bobby O	
[4/16/23 04:47AM] Player picked up item: Coin, id: 995, amount: 2472890, owner: Bobby O	
[4/16/23 04:47AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/16/23 04:48AM] Player picked up item: Coin, id: 995, amount: 2557374, owner: Bobby O	
[4/16/23 04:48AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/16/23 05:00AM] Player picked up item: Coin, id: 995, amount: 1536220, owner: Bobby O	
[4/16/23 05:00AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 1971063, owner: Bobby O	
[4/16/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 3500574, owner: Bobby O	
[4/16/23 05:27AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/16/23 05:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bobby O	
[4/16/23 05:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bobby O	
[4/16/23 05:30AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Bobby O	
[4/16/23 05:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bobby O	
[4/16/23 05:54AM] Player picked up item: Coin, id: 995, amount: 1921483, owner: Bobby O	
[4/16/23 05:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/17/23 09:59PM] Player picked up item: Coin, id: 995, amount: 2068211, owner: Bobby O	
[4/17/23 09:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/17/23 09:59PM] Player picked up item: Coin, id: 995, amount: 3414792, owner: Bobby O	
[4/17/23 09:59PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/18/23 12:42AM] Player picked up item: Coin, id: 995, amount: 1617092, owner: Bobby O	
[4/18/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/18/23 12:42AM] Player picked up item: Coin, id: 995, amount: 4113962, owner: Bobby O	
[4/18/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/18/23 12:43AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bobby O	
[4/18/23 12:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bobby O	
[4/18/23 12:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bobby O	
[4/18/23 12:45AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bobby O	
[4/18/23 02:41AM] Player picked up item: Coin, id: 995, amount: 1762267, owner: Bobby O	
[4/18/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/18/23 02:42AM] Player picked up item: Coin, id: 995, amount: 3472128, owner: Bobby O	
[4/18/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/18/23 02:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bobby O	
[4/18/23 02:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bobby O	
[4/18/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bobby O	
[4/18/23 02:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bobby O	
[4/18/23 03:43AM] Player picked up item: Coin, id: 995, amount: 3707898, owner: Bobby O	
[4/18/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/18/23 04:42AM] Player picked up item: Coin, id: 995, amount: 1406945, owner: Bobby O	
[4/18/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bobby O	
[4/18/23 04:43AM] Player picked up item: Coin, id: 995, amount: 2310353, owner: Bobby O	
[4/18/23 04:43AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bobby O	
[4/18/23 04:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bobby O	
[4/18/23 04:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bobby O	
[4/18/23 04:45AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Bobby O	
[4/18/23 04:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bobby O	
