[4/22/23 06:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Wild	
[4/22/23 06:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Coin, id: 995, amount: 400, owner: Wild	
[4/22/23 06:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Wild	
[4/22/23 06:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
[4/22/23 06:48AM] Player picked up item: Coin, id: 995, amount: 400, owner: Wild	
[4/22/23 06:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wild	
[4/22/23 06:48AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Wild	
[4/22/23 06:49AM] Player picked up item: Coin, id: 995, amount: 400, owner: Wild	
[4/22/23 06:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wild	
[4/22/23 06:49AM] Player picked up item: Coin, id: 995, amount: 200, owner: Wild	
[4/22/23 06:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wild	
