[4/16/23 09:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:33AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:33AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Coin, id: 995, amount: 300, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Coin, id: 995, amount: 300, owner: Iron Hated	
[4/16/23 09:35AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:36AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Iron Hated	
[4/16/23 09:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Hated	
[4/16/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Hated	
[4/16/23 09:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Hated	
[4/16/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Hated	
[4/16/23 09:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Hated	
[4/16/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Hated	
[4/16/23 09:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Hated	
