[4/22/23 07:34PM] Player picked up item: Coin, id: 995, amount: 1380674, owner: Dragonball Z	
[4/22/23 07:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dragonball Z	
[4/22/23 07:35PM] Player picked up item: Coin, id: 995, amount: 3098751, owner: Dragonball Z	
[4/22/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dragonball Z	
[4/22/23 07:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Dragonball Z	
[4/22/23 07:40PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Dragonball Z	
[4/22/23 07:44PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Dragonball Z	
[4/22/23 07:44PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Dragonball Z	
[4/22/23 07:45PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Dragonball Z	
[4/22/23 07:45PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Dragonball Z	
[4/22/23 07:56PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Dragonball Z	
[4/22/23 08:04PM] Player picked up item: Coin, id: 995, amount: 1461668, owner: Dragonball Z	
[4/22/23 08:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dragonball Z	
[4/22/23 08:33PM] Player picked up item: Coin, id: 995, amount: 2445788, owner: Dragonball Z	
[4/22/23 08:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dragonball Z	
[4/22/23 08:34PM] Player picked up item: Coin, id: 995, amount: 3648219, owner: Dragonball Z	
[4/22/23 08:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dragonball Z	
[4/22/23 08:35PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Dragonball Z	
[4/22/23 08:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Dragonball Z	
[4/22/23 08:35PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Dragonball Z	
[4/22/23 08:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Dragonball Z	
