[4/20/23 09:07AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Sir Dopez	
[4/20/23 09:07AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Sir Dopez	
[4/20/23 09:18AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Sir Dopez	
[4/20/23 09:18AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Sir Dopez	
[4/20/23 09:20AM] Player picked up item: Coin, id: 995, amount: 1527339, owner: Sir Dopez	
[4/20/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sir Dopez	
[4/20/23 09:21AM] Player picked up item: Coin, id: 995, amount: 2080215, owner: Sir Dopez	
[4/20/23 09:21AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Sir Dopez	
[4/20/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Sir Dopez	
[4/20/23 09:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Sir Dopez	
[4/20/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Sir Dopez	
[4/20/23 09:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Sir Dopez	
[4/20/23 09:25AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Sir Dopez	
[4/20/23 09:25AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Sir Dopez	
[4/20/23 09:27AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Sir Dopez	
[4/20/23 09:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Sir Dopez	
