[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: G3cko	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 1600, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:31AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 800, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 800, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 1600, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: G3cko	
[4/23/23 10:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
[4/23/23 10:34AM] Player picked up item: Coin, id: 995, amount: 500, owner: G3cko	
[4/23/23 10:34AM] Player picked up item: Coin, id: 995, amount: 500, owner: G3cko	
[4/23/23 10:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: G3cko	
