[4/15/23 12:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:43PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Edvinas	
[4/15/23 12:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Edvinas	
[4/15/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Coin, id: 995, amount: 400, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Coin, id: 995, amount: 400, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Edvinas	
[4/15/23 12:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Edvinas	
[4/15/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Edvinas	
[4/15/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Edvinas	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Edvinas	
[4/15/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Edvinas	
[4/15/23 12:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Edvinas	
