[4/15/23 08:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xba	
[4/15/23 08:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Amura	
[4/15/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Amura	
[4/15/23 08:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: L I T S	
[4/15/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: L I T S	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Coin, id: 995, amount: 400, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Coin, id: 995, amount: 400, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:26AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:26AM] Player picked up item: Coin, id: 995, amount: 200, owner: L I T S	
[4/15/23 08:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
[4/15/23 08:26AM] Player picked up item: Starter Body, id: 704, amount: 1, owner: L I T S	
[4/15/23 08:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: L I T S	
