[4/20/23 09:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:43AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:43AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sarma	
[4/20/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sarma	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sarma	
[4/20/23 09:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sarma	
[4/20/23 09:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sarma	
[4/20/23 09:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Sarma	
