[4/21/23 01:12PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/21/23 01:12PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
[4/21/23 01:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/21/23 01:14PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
[4/23/23 09:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/23/23 09:39AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
[4/23/23 09:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/23/23 09:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
[4/23/23 09:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/23/23 09:44AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
[4/23/23 10:53AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Antss	
[4/23/23 10:53AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Antss	
