[4/16/23 07:44AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Remorse	
[4/16/23 07:54AM] Player picked up item: Coin, id: 995, amount: 1000940, owner: Remorse	
[4/16/23 07:54AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Remorse	
[4/16/23 08:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Remorse	
[4/16/23 08:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Remorse	
[4/16/23 08:03AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Remorse	
[4/16/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Remorse	
[4/16/23 08:34AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Remorse	
[4/16/23 08:40AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Remorse	
[4/16/23 08:40AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Remorse	
[4/16/23 08:54AM] Player picked up item: Coin, id: 995, amount: 2387643, owner: Remorse	
[4/16/23 08:54AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Remorse	
[4/16/23 09:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Remorse	
[4/16/23 09:09AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Remorse	
[4/16/23 09:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Remorse	
[4/16/23 09:10AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Remorse	
[4/16/23 09:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Remorse	
[4/16/23 09:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Remorse	
[4/16/23 08:27PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Zshana	
[4/19/23 07:43PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Ao	
[4/19/23 07:45PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Nadez	
[4/19/23 08:10PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Nadez	
