[4/17/23 05:03PM] Player picked up item: Coin, id: 995, amount: 1432439, owner: Smartass	
[4/17/23 05:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Smartass	
[4/17/23 05:03PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:04PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Smartass	
[4/17/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:18PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Smartass	
[4/17/23 05:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Smartass	
[4/17/23 05:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Smartass	
[4/17/23 05:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Smartass	
[4/17/23 05:19PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Smartass	
