[4/20/23 08:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Empty One	
[4/20/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Empty One	
[4/20/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Empty One	
[4/20/23 08:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Empty One	
[4/20/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Empty One	
