[4/18/23 07:05AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hard N Moist	
[4/18/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hard N Moist	
[4/18/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hard N Moist	
[4/18/23 07:13AM] Player picked up item: Coin, id: 995, amount: 1158898, owner: Hard N Moist	
[4/18/23 07:13AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 07:42AM] Player picked up item: Coin, id: 995, amount: 3903543, owner: Hard N Moist	
[4/18/23 07:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 07:43AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hard N Moist	
[4/18/23 07:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hard N Moist	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 1295283, owner: Hard N Moist	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 09:42AM] Player picked up item: Coin, id: 995, amount: 1851258, owner: Hard N Moist	
[4/18/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 09:42AM] Player picked up item: Coin, id: 995, amount: 2294480, owner: Hard N Moist	
[4/18/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 09:47AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Hard N Moist	
[4/18/23 10:14AM] Player picked up item: Coin, id: 995, amount: 1858402, owner: Hard N Moist	
[4/18/23 10:14AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 10:41AM] Player picked up item: Coin, id: 995, amount: 1752821, owner: Hard N Moist	
[4/18/23 10:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 10:42AM] Player picked up item: Coin, id: 995, amount: 3974639, owner: Hard N Moist	
[4/18/23 10:42AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Hard N Moist	
[4/18/23 11:12AM] Player picked up item: Coin, id: 995, amount: 2104804, owner: Hard N Moist	
[4/18/23 11:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 11:41AM] Player picked up item: Coin, id: 995, amount: 1439271, owner: Hard N Moist	
[4/18/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 11:42AM] Player picked up item: Coin, id: 995, amount: 3130326, owner: Hard N Moist	
[4/18/23 11:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 12:41PM] Player picked up item: Coin, id: 995, amount: 2057495, owner: Hard N Moist	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 12:42PM] Player picked up item: Coin, id: 995, amount: 2597225, owner: Hard N Moist	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/18/23 12:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/18/23 01:12PM] Player picked up item: Coin, id: 995, amount: 1377777, owner: Hard N Moist	
[4/18/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 02:11PM] Player picked up item: Coin, id: 995, amount: 2137197, owner: Hard N Moist	
[4/18/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 02:41PM] Player picked up item: Coin, id: 995, amount: 2087600, owner: Hard N Moist	
[4/18/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 02:42PM] Player picked up item: Coin, id: 995, amount: 3873096, owner: Hard N Moist	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/18/23 02:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/18/23 03:11PM] Player picked up item: Coin, id: 995, amount: 1406136, owner: Hard N Moist	
[4/18/23 03:41PM] Player picked up item: Coin, id: 995, amount: 2086955, owner: Hard N Moist	
[4/18/23 03:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 03:42PM] Player picked up item: Coin, id: 995, amount: 2303395, owner: Hard N Moist	
[4/18/23 03:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 1687344, owner: Hard N Moist	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 04:41PM] Player picked up item: Coin, id: 995, amount: 1733869, owner: Hard N Moist	
[4/18/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: Coin, id: 995, amount: 2594979, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hard N Moist	
[4/18/23 04:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Hard N Moist	
[4/18/23 04:55PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/18/23 04:55PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/18/23 05:11PM] Player picked up item: Coin, id: 995, amount: 1288337, owner: Hard N Moist	
[4/18/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 05:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/18/23 05:32PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/18/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/18/23 05:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/18/23 05:39PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hard N Moist	
[4/18/23 05:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hard N Moist	
[4/18/23 05:43PM] Player picked up item: Coin, id: 995, amount: 1674164, owner: Hard N Moist	
[4/18/23 05:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 06:13PM] Player picked up item: Coin, id: 995, amount: 2219836, owner: Hard N Moist	
[4/18/23 06:13PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 2204539, owner: Hard N Moist	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 06:45PM] Player picked up item: Coin, id: 995, amount: 2995252, owner: Hard N Moist	
[4/18/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 06:47PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Hard N Moist	
[4/18/23 06:47PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/18/23 07:01PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/18/23 07:01PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/18/23 07:13PM] Player picked up item: Coin, id: 995, amount: 1570113, owner: Hard N Moist	
[4/18/23 07:13PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 07:43PM] Player picked up item: Coin, id: 995, amount: 1577146, owner: Hard N Moist	
[4/18/23 07:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/18/23 07:44PM] Player picked up item: Coin, id: 995, amount: 3869836, owner: Hard N Moist	
[4/18/23 07:44PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/18/23 07:45PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Hard N Moist	
[4/18/23 07:45PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hard N Moist	
[4/19/23 07:14PM] Player picked up item: Coin, id: 995, amount: 1347227, owner: Hard N Moist	
[4/19/23 07:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/19/23 07:15PM] Player picked up item: Coin, id: 995, amount: 4393800, owner: Hard N Moist	
[4/19/23 07:15PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/19/23 07:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/19/23 07:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/19/23 07:44PM] Player picked up item: Coin, id: 995, amount: 2327753, owner: Hard N Moist	
[4/19/23 07:44PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/19/23 08:15PM] Player picked up item: Coin, id: 995, amount: 2365901, owner: Hard N Moist	
[4/19/23 08:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/19/23 08:17PM] Player picked up item: Coin, id: 995, amount: 3680234, owner: Hard N Moist	
[4/19/23 08:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/19/23 08:46PM] Player picked up item: Coin, id: 995, amount: 1414037, owner: Hard N Moist	
[4/19/23 08:46PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/20/23 10:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hard N Moist	
[4/20/23 10:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hard N Moist	
[4/20/23 10:49AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/20/23 10:49AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/20/23 10:51AM] Player picked up item: Coin, id: 995, amount: 2064362, owner: Hard N Moist	
[4/20/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/20/23 10:56AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/20/23 10:56AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/20/23 11:33AM] Player picked up item: Starter Defender, id: 19914, amount: 1, owner: Hard N Moist	
[4/20/23 11:33AM] Player picked up item: Starter Ring, id: 23091, amount: 1, owner: Hard N Moist	
[4/20/23 03:20PM] Player picked up item: Coin, id: 995, amount: 1811379, owner: Hard N Moist	
[4/20/23 03:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
[4/20/23 03:21PM] Player picked up item: Coin, id: 995, amount: 4495582, owner: Hard N Moist	
[4/20/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Hard N Moist	
[4/20/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Hard N Moist	
[4/20/23 03:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Hard N Moist	
[4/20/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hard N Moist	
[4/20/23 03:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hard N Moist	
[4/20/23 03:26PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Hard N Moist	
[4/20/23 03:26PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Hard N Moist	
[4/20/23 03:51PM] Player picked up item: Coin, id: 995, amount: 1795486, owner: Hard N Moist	
[4/20/23 03:51PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Hard N Moist	
[4/20/23 04:20PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Hard N Moist	
[4/20/23 04:22PM] Player picked up item: Coin, id: 995, amount: 3764065, owner: Hard N Moist	
[4/20/23 04:22PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Hard N Moist	
[4/20/23 04:45PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Hard N Moist	
[4/20/23 04:45PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Hard N Moist	
[4/20/23 04:50PM] Player picked up item: Coin, id: 995, amount: 2234687, owner: Hard N Moist	
[4/20/23 04:50PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Hard N Moist	
