[4/18/23 09:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:14AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Al Faed	
[4/18/23 09:14AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Al Faed	
[4/18/23 09:14AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Al Faed	
[4/18/23 09:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Al Faed	
[4/18/23 09:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Al Faed	
[4/18/23 09:23AM] Player picked up item: Coin, id: 995, amount: 400, owner: Al Faed	
