[4/21/23 05:34AM] Player picked up item: Coin, id: 995, amount: 2176912, owner: Kenny	
[4/21/23 05:34AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Kenny	
[4/21/23 05:35AM] Player picked up item: Coin, id: 995, amount: 3865932, owner: Kenny	
[4/21/23 05:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Kenny	
[4/21/23 05:37AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Kenny	
[4/21/23 05:37AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Kenny	
[4/21/23 06:04AM] Player picked up item: Coin, id: 995, amount: 1768460, owner: Kenny	
[4/22/23 04:16AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Kenny	
[4/22/23 04:17AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Kenny	
[4/22/23 04:19AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Kenny	
[4/22/23 04:23AM] Player picked up item: Coin, id: 995, amount: 2400, owner: Kenny	
[4/22/23 04:34AM] Player picked up item: Coin, id: 995, amount: 1143734, owner: Kenny	
[4/22/23 04:35AM] Player picked up item: Coin, id: 995, amount: 3661286, owner: Kenny	
[4/22/23 04:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Kenny	
[4/22/23 04:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Kenny	
[4/22/23 04:36AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Kenny	
[4/22/23 04:48AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Kenny	
[4/22/23 04:59AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Kenny	
[4/22/23 05:00AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Kenny	
[4/22/23 05:00AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Kenny	
[4/22/23 05:20AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Kenny	
