[4/20/23 02:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kr6bejuut	
[4/20/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kr6bejuut	
[4/20/23 02:20PM] Player picked up item: Coin, id: 995, amount: 2423460, owner: Kr6bejuut	
[4/20/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Kr6bejuut	
