[4/17/23 09:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Inherited	
[4/17/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Inherited	
[4/17/23 09:42AM] Player picked up item: Coin, id: 995, amount: 2394554, owner: Inherited	
[4/17/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Inherited	
[4/17/23 09:44AM] Player picked up item: Coin, id: 995, amount: 2563408, owner: Inherited	
[4/17/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Inherited	
[4/17/23 09:45AM] Player picked up item: Owner cape goodiebag, id: 3578, amount: 1, owner: Inherited	
[4/17/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Inherited	
[4/17/23 09:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Inherited	
[4/17/23 09:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Inherited	
[4/17/23 09:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Inherited	
[4/17/23 09:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Inherited	
[4/17/23 09:58AM] Player picked up item: Coin, id: 995, amount: 400, owner: Inherited	
[4/17/23 10:03AM] Player picked up item: Coin, id: 995, amount: 700, owner: Inherited	
[4/17/23 10:04AM] Player picked up item: Coin, id: 995, amount: 700, owner: Inherited	
[4/17/23 10:33AM] Player picked up item: Coin, id: 995, amount: 1089633, owner: Inherited	
[4/17/23 10:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Inherited	
[4/17/23 10:34AM] Player picked up item: Coin, id: 995, amount: 4002032, owner: Inherited	
[4/17/23 10:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Inherited	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Inherited	
[4/17/23 10:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Inherited	
[4/17/23 11:03AM] Player picked up item: Coin, id: 995, amount: 1184864, owner: Inherited	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Inherited	
[4/17/23 11:03AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Inherited	
[4/17/23 11:05AM] Player picked up item: Coin, id: 995, amount: 4140549, owner: Inherited	
[4/17/23 11:05AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Inherited	
[4/17/23 11:06AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Inherited	
[4/17/23 11:06AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Inherited	
[4/17/23 11:09AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Inherited	
[4/17/23 11:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Inherited	
[4/17/23 11:17AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Inherited	
[4/17/23 11:17AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Inherited	
[4/17/23 11:18AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Inherited	
[4/17/23 11:24AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Inherited	
[4/17/23 11:25AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Inherited	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 800, owner: Inherited	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 800, owner: Inherited	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 800, owner: Inherited	
[4/17/23 11:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Inherited	
[4/17/23 11:33AM] Player picked up item: Coin, id: 995, amount: 2467882, owner: Inherited	
[4/17/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Inherited	
[4/17/23 11:33AM] Player picked up item: Coin, id: 995, amount: 4188187, owner: Inherited	
[4/17/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Inherited	
[4/19/23 12:29PM] Player picked up item: Unknown Body, id: 21043, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Mace, id: 9940, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Body, id: 21043, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Gloves, id: 21046, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Body, id: 21043, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Body, id: 21043, amount: 1, owner: Kingrock	
[4/19/23 12:29PM] Player picked up item: Unknown Body, id: 21043, amount: 1, owner: Kingrock	
[4/21/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Inherited	
[4/21/23 02:20PM] Player picked up item: Demonlord Gloves, id: 14182, amount: 1, owner: Inherited	
[4/23/23 07:58AM] Player picked up item: Infinite healing potion (T1), id: 23118, amount: 1, owner: Onlyfans	
[4/23/23 10:04AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Beef Supreme	
