[4/17/23 10:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Beastthao	
[4/17/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 600, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Beastthao	
[4/17/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Beastthao	
[4/17/23 10:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Beastthao	
[4/17/23 10:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Beastthao	
[4/17/23 10:20PM] Player picked up item: Coin, id: 995, amount: 600, owner: Beastthao	
[4/17/23 10:20PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Beastthao	
[4/17/23 10:21PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Beastthao	
[4/17/23 10:29PM] Player picked up item: Coin, id: 995, amount: 2200280, owner: Beastthao	
[4/17/23 10:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Beastthao	
[4/21/23 09:59PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Sad	
[4/22/23 10:15PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Beastthao	
[4/23/23 11:46AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Bulba	
