[4/15/23 03:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:57AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: A Jeesus	
[4/15/23 03:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
[4/15/23 03:57AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: A Jeesus	
[4/15/23 03:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Coin, id: 995, amount: 200, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: A Jeesus	
[4/15/23 03:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: A Jeesus	
[4/15/23 04:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: A Jeesus	
[4/15/23 04:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
[4/15/23 04:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: A Jeesus	
[4/15/23 04:01AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: A Jeesus	
[4/15/23 04:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
[4/15/23 04:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: A Jeesus	
