[4/22/23 03:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Phavi	
[4/22/23 03:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Phavi	
[4/22/23 03:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Phavi	
[4/22/23 03:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Phavi	
[4/22/23 03:29PM] Player picked up item: Coin, id: 995, amount: 200, owner: Phavi	
[4/22/23 03:32PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Phavi	
[4/22/23 03:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: Phavi	
[4/22/23 03:34PM] Player picked up item: Coin, id: 995, amount: 2343428, owner: Phavi	
[4/22/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Phavi	
[4/22/23 03:36PM] Player picked up item: Coin, id: 995, amount: 300, owner: Phavi	
[4/22/23 03:38PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Phavi	
[4/22/23 03:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Phavi	
[4/22/23 03:38PM] Player picked up item: Coin, id: 995, amount: 300, owner: Phavi	
[4/22/23 03:39PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Phavi	
[4/22/23 03:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Phavi	
[4/22/23 03:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Phavi	
[4/22/23 03:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Phavi	
[4/22/23 03:41PM] Player picked up item: Coin, id: 995, amount: 400, owner: Phavi	
[4/22/23 03:42PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Phavi	
[4/22/23 03:44PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Phavi	
[4/22/23 03:44PM] Player picked up item: Coin, id: 995, amount: 500, owner: Phavi	
[4/22/23 03:50PM] Player picked up item: Coin, id: 995, amount: 3600, owner: Phavi	
[4/22/23 03:52PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Phavi	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 700, owner: Phavi	
[4/22/23 04:04PM] Player picked up item: Coin, id: 995, amount: 1023076, owner: Phavi	
[4/22/23 04:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Phavi	
[4/22/23 04:07PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Phavi	
