[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Lileiri	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Lileiri	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sam	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mirkys	
[4/16/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mirkys	
[4/16/23 06:51PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sam	
[4/16/23 06:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sam	
[4/16/23 06:51PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Sam	
[4/16/23 06:51PM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Sam	
