[4/16/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Angzi3ty	
[4/16/23 03:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Angzi3ty	
[4/16/23 03:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Angzi3ty	
[4/16/23 03:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Angzi3ty	
[4/16/23 03:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Angzi3ty	
[4/16/23 03:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Angzi3ty	
[4/16/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Angzi3ty	
[4/16/23 03:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Angzi3ty	
