[4/20/23 11:53AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Monsterbait	
[4/20/23 11:53AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Monsterbait	
[4/20/23 11:54AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Monsterbait	
[4/20/23 11:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Monsterbait	
[4/20/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 12:20PM] Player picked up item: Coin, id: 995, amount: 2018261, owner: Monsterbait	
[4/20/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsterbait	
[4/20/23 12:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsterbait	
[4/20/23 12:23PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Monsterbait	
[4/20/23 12:31PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsterbait	
[4/20/23 12:31PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Monsterbait	
[4/20/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 12:37PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsterbait	
[4/20/23 12:38PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsterbait	
[4/20/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 9, owner: Monsterbait	
[4/20/23 01:17PM] Player picked up item: Coin, id: 995, amount: 800, owner: Monsterbait	
[4/20/23 01:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 01:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsterbait	
[4/20/23 01:21PM] Player picked up item: Coin, id: 995, amount: 3220472, owner: Monsterbait	
[4/20/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Monsterbait	
[4/20/23 01:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsterbait	
[4/20/23 01:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 01:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Monsterbait	
[4/20/23 01:32PM] Player picked up item: Coin, id: 995, amount: 700, owner: Monsterbait	
[4/20/23 01:33PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Monsterbait	
[4/20/23 01:33PM] Player picked up item: Imperial Staff, id: 18629, amount: 1, owner: Monsterbait	
[4/20/23 01:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Monsterbait	
[4/20/23 01:35PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Monsterbait	
[4/20/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Monsterbait	
[4/20/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 01:51PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsterbait	
[4/20/23 01:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Monsterbait	
[4/20/23 01:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Monsterbait	
[4/20/23 01:56PM] Player picked up item: Coin, id: 995, amount: 700, owner: Monsterbait	
[4/20/23 01:56PM] Player picked up item: Coin, id: 995, amount: 700, owner: Monsterbait	
[4/20/23 01:59PM] Player picked up item: Coin, id: 995, amount: 800, owner: Monsterbait	
[4/20/23 01:59PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Monsterbait	
[4/20/23 01:59PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Monsterbait	
[4/20/23 02:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Monsterbait	
[4/20/23 02:06PM] Player picked up item: Coin, id: 995, amount: 11000, owner: Monsterbait	
[4/20/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsterbait	
