[4/18/23 12:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zamby96	
[4/18/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Coin, id: 995, amount: 400, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Coin, id: 995, amount: 400, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Coin, id: 995, amount: 400, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zamby96	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:28PM] Player picked up item: Coin, id: 995, amount: 300, owner: Zamby96	
[4/18/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:30PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Zamby96	
[4/18/23 12:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Zamby96	
[4/18/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zamby96	
[4/18/23 12:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Zamby96	
[4/18/23 12:30PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Zamby96	
