[4/18/23 06:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:40PM] Player picked up item: Coin, id: 995, amount: 600, owner: Igotplugz	
[4/18/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Igotplugz	
[4/18/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 900, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 900, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 600, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Coin, id: 995, amount: 600, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Coin, id: 995, amount: 300, owner: Igotplugz	
[4/18/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:50PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Igotplugz	
[4/18/23 06:52PM] Player picked up item: Coin, id: 995, amount: 400, owner: Igotplugz	
[4/18/23 06:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
