[4/19/23 09:51PM] Player picked up item: Coin, id: 995, amount: 1759742, owner: Daddyhoho16	
[4/19/23 09:51PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daddyhoho16	
[4/20/23 12:43PM] Player picked up item: Revenant Legs, id: 18003, amount: 1, owner: Daddyhoho16	
[4/20/23 12:43PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Daddyhoho16	
[4/20/23 12:43PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Daddyhoho16	
[4/23/23 07:03PM] Player picked up item: Coin, id: 995, amount: 3430072, owner: Daddyhoho16	
[4/23/23 07:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daddyhoho16	
[4/23/23 07:05PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Inherited	
[4/23/23 07:06PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Daddyhoho16	
[4/23/23 07:06PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Daddyhoho16	
[4/23/23 07:08PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Daddyhoho16	
[4/23/23 07:08PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Daddyhoho16	
[4/23/23 09:03PM] Player picked up item: Coin, id: 995, amount: 4005228, owner: Daddyhoho16	
[4/23/23 09:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daddyhoho16	
[4/23/23 09:05PM] Player picked up item: Coin, id: 995, amount: 4535644, owner: Daddyhoho16	
[4/23/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daddyhoho16	
[4/23/23 09:06PM] Player picked up item: Coin, id: 995, amount: 3328556, owner: Daddyhoho16	
[4/23/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daddyhoho16	
