[4/16/23 08:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trenbolon	
[4/16/23 08:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Trenbolon	
[4/16/23 08:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Trenbolon	
[4/16/23 08:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Trenbolon	
[4/16/23 08:54PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Trenbolon	
[4/16/23 08:56PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Trenbolon	
