[4/16/23 05:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Troy	
[4/16/23 05:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Troy	
[4/16/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Troy	
[4/16/23 05:17AM] Player picked up item: Coin, id: 995, amount: 600, owner: Troy	
[4/16/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Troy	
[4/16/23 05:20AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Troy	
[4/16/23 05:20AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Troy	
[4/16/23 05:20AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Troy	
[4/16/23 05:22AM] Player picked up item: Lava bones, id: 2023, amount: 9, owner: Troy	
[4/16/23 05:22AM] Player picked up item: Coin, id: 995, amount: 500, owner: Troy	
[4/16/23 05:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Troy	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 1274242, owner: Troy	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 2387804, owner: Troy	
[4/16/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Troy	
