[4/19/23 05:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gerbear	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gerbear	
[4/19/23 07:30PM] Player picked up item: Mystic body, id: 23022, amount: 1, owner: Gerbear	
[4/19/23 07:35PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Gerbear	
