[4/15/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mommy Nami	
[4/15/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mommy Nami	
[4/15/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mommy Nami	
[4/15/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mommy Nami	
[4/15/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Mommy Nami	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Mommy Nami	
[4/15/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Mommy Nami	
[4/15/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mommy Nami	
[4/15/23 01:59PM] Player picked up item: Coin, id: 995, amount: 1480680, owner: Mommy Nami	
[4/15/23 01:59PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mommy Nami	
[4/15/23 02:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Mommy Nami	
[4/15/23 02:02PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Mommy Nami	
[4/15/23 02:09PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mommy Nami	
[4/15/23 02:11PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Mommy Nami	
[4/15/23 02:12PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Mommy Nami	
[4/15/23 02:14PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Mommy Nami	
[4/15/23 02:22PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Mommy Nami	
[4/15/23 02:28PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Mommy Nami	
[4/15/23 02:29PM] Player picked up item: Coin, id: 995, amount: 1359180, owner: Mommy Nami	
[4/15/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mommy Nami	
[4/15/23 02:29PM] Player picked up item: Coin, id: 995, amount: 3713132, owner: Mommy Nami	
[4/15/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Mommy Nami	
[4/15/23 02:30PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Mommy Nami	
[4/15/23 02:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Mommy Nami	
[4/15/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mommy Nami	
[4/15/23 02:35PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Mommy Nami	
[4/15/23 02:36PM] Player picked up item: Coin, id: 995, amount: 900, owner: Mommy Nami	
[4/15/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Mommy Nami	
[4/15/23 09:18PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Mommy Nami	
[4/15/23 09:22PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Mommy Nami	
[4/15/23 09:22PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Mommy Nami	
[4/15/23 09:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mommy Nami	
[4/15/23 09:24PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Mommy Nami	
[4/15/23 09:25PM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: Mommy Nami	
[4/15/23 09:27PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mommy Nami	
[4/15/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mommy Nami	
[4/15/23 09:31PM] Player picked up item: Coin, id: 995, amount: 2238977, owner: Mommy Nami	
[4/15/23 09:31PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Mommy Nami	
[4/15/23 09:32PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Mommy Nami	
[4/15/23 09:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Mommy Nami	
[4/15/23 09:33PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Mommy Nami	
[4/15/23 09:34PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 09:36PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 09:36PM] Player picked up item: Patience legs, id: 23036, amount: 1, owner: Mommy Nami	
[4/15/23 09:37PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: Mommy Nami	
[4/15/23 09:37PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: Mommy Nami	
[4/15/23 09:38PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 09:40PM] Player picked up item: Patience bow, id: 23039, amount: 1, owner: Mommy Nami	
[4/15/23 09:41PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 09:44PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 09:44PM] Player picked up item: Patience gloves, id: 23037, amount: 1, owner: Mommy Nami	
[4/15/23 09:44PM] Player picked up item: Patience bow, id: 23039, amount: 1, owner: Mommy Nami	
[4/15/23 09:44PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: Mommy Nami	
[4/15/23 09:44PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: Mommy Nami	
[4/15/23 09:52PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Mommy Nami	
[4/15/23 10:00PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mommy Nami	
[4/15/23 10:00PM] Player picked up item: Coin, id: 995, amount: 2082525, owner: Mommy Nami	
[4/16/23 06:48AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Mommy Nami	
[4/16/23 06:50AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Mommy Nami	
[4/16/23 06:50AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Mommy Nami	
[4/16/23 06:56AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Mommy Nami	
[4/16/23 08:58PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Mommy Nami	
[4/16/23 08:58PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Mommy Nami	
[4/16/23 09:00PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Mommy Nami	
[4/17/23 03:32AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Mommy Nami	
[4/17/23 03:34AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Mommy Nami	
[4/17/23 03:56AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Mommy Nami	
[4/17/23 07:41PM] Player picked up item: Coin, id: 995, amount: 28000, owner: Mommy Nami	
[4/17/23 07:47PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Mommy Nami	
[4/17/23 08:46PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Mommy Nami	
[4/17/23 09:01PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Mommy Nami	
[4/17/23 09:01PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Mommy Nami	
[4/17/23 09:02PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Mommy Nami	
[4/17/23 09:03PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Mommy Nami	
[4/17/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Mommy Nami	
[4/17/23 09:07PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Mommy Nami	
[4/22/23 06:25AM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Mommy Nami	
