[4/15/23 05:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Hibashi	
[4/15/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hibashi	
[4/15/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Hibashi	
[4/15/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hibashi	
[4/15/23 05:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tame	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Tame	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: K0000	
[4/15/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 05:54PM] Player picked up item: PvM Casket, id: 2736, amount: 5, owner: K0000	
[4/15/23 05:54PM] Player picked up item: Antique lamp, id: 11137, amount: 3, owner: K0000	
[4/15/23 05:54PM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: K0000	
[4/15/23 05:54PM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: K0000	
[4/15/23 05:54PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: K0000	
[4/15/23 05:54PM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: K0000	
[4/15/23 05:54PM] Player picked up item: Coin, id: 995, amount: 300, owner: K0000	
[4/15/23 05:54PM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: K0000	
[4/15/23 05:54PM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: K0000	
[4/15/23 06:00PM] Player picked up item: Coin, id: 995, amount: 1223284, owner: K0000	
[4/15/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: K0000	
[4/15/23 06:05PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: K0000	
[4/15/23 06:06PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: K0000	
[4/15/23 06:07PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: K0000	
[4/15/23 06:10PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: K0000	
[4/15/23 06:14PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: K0000	
[4/15/23 06:17PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: K0000	
[4/15/23 06:19PM] Player picked up item: Coin, id: 995, amount: 800, owner: K0000	
[4/15/23 06:19PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: K0000	
[4/15/23 06:20PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: K0000	
[4/15/23 06:20PM] Player picked up item: Coin, id: 995, amount: 800, owner: K0000	
[4/15/23 06:20PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: K0000	
[4/15/23 06:20PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: K0000	
[4/15/23 06:22PM] Player picked up item: Coin, id: 995, amount: 600, owner: K0000	
[4/15/23 06:24PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: K0000	
[4/15/23 06:25PM] Player picked up item: Coin, id: 995, amount: 800, owner: K0000	
[4/15/23 06:25PM] Player picked up item: Coin, id: 995, amount: 4000, owner: K0000	
[4/15/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: K0000	
[4/15/23 06:26PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: K0000	
[4/15/23 06:27PM] Player picked up item: Coin, id: 995, amount: 1000, owner: K0000	
[4/15/23 06:28PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: K0000	
[4/15/23 06:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 06:30PM] Player picked up item: Coin, id: 995, amount: 1611727, owner: K0000	
[4/15/23 06:30PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: K0000	
[4/15/23 06:31PM] Player picked up item: Coin, id: 995, amount: 4413931, owner: K0000	
[4/15/23 06:31PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: K0000	
[4/15/23 06:32PM] Player picked up item: Owner cape goodiebag, id: 3578, amount: 1, owner: K0000	
[4/15/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: K0000	
[4/15/23 06:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: K0000	
[4/15/23 06:34PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: K0000	
[4/15/23 06:37PM] Player picked up item: Coin, id: 995, amount: 3200, owner: K0000	
[4/15/23 06:38PM] Player picked up item: Coin, id: 995, amount: 800, owner: K0000	
[4/15/23 06:40PM] Player picked up item: Coin, id: 995, amount: 1000, owner: K0000	
[4/15/23 06:40PM] Player picked up item: Coin, id: 995, amount: 3000, owner: K0000	
[4/15/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: K0000	
[4/15/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
[4/15/23 06:41PM] Player picked up item: Coin, id: 995, amount: 2000, owner: K0000	
[4/15/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: K0000	
[4/15/23 06:42PM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: K0000	
[4/15/23 06:42PM] Player picked up item: Coin, id: 995, amount: 1000, owner: K0000	
[4/15/23 06:44PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: K0000	
[4/15/23 06:44PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: K0000	
[4/15/23 06:44PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: K0000	
[4/15/23 06:45PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: K0000	
[4/15/23 06:45PM] Player picked up item: Coin, id: 995, amount: 800, owner: K0000	
[4/15/23 06:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: K0000	
