[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:53AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 05:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Asaitokj	
[4/20/23 05:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Asaitokj	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Asaitokj	
