[4/22/23 12:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Damakos	
[4/22/23 12:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Damakos	
[4/22/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Damakos	
[4/22/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Damakos	
[4/22/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Damakos	
[4/22/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Damakos	
[4/22/23 12:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Damakos	
