[4/15/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zaryte	
[4/15/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zaryte	
[4/15/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zaryte	
[4/15/23 11:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zaryte	
[4/15/23 11:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zaryte	
[4/15/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:51AM] Player picked up item: Starter Legs, id: 705, amount: 1, owner: Zaryte	
[4/15/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zaryte	
[4/15/23 11:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zaryte	
[4/15/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
[4/15/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Zaryte	
[4/15/23 11:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zaryte	
[4/15/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zaryte	
