[4/19/23 02:00PM] Player picked up item: Coin, id: 995, amount: 300, owner: Some Guy	
[4/19/23 02:00PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Some Guy	
[4/19/23 02:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ardijan	
[4/19/23 02:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ardijan	
[4/19/23 02:01PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Some Guy	
[4/19/23 02:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Some Guy	
[4/19/23 02:03PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Some Guy	
[4/19/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Some Guy	
[4/19/23 02:18PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Some Guy	
[4/19/23 02:19PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Some Guy	
[4/19/23 02:19PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Some Guy	
[4/19/23 02:20PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Some Guy	
[4/19/23 02:21PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Some Guy	
[4/19/23 02:25PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Some Guy	
[4/19/23 02:29PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Some Guy	
[4/19/23 02:29PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Some Guy	
[4/19/23 02:41PM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: Some Guy	
[4/19/23 02:41PM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: Some Guy	
[4/19/23 02:42PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Some Guy	
[4/19/23 02:42PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Some Guy	
[4/19/23 02:42PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Some Guy	
[4/19/23 02:46PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Some Guy	
[4/19/23 02:46PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Some Guy	
[4/19/23 02:49PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Some Guy	
[4/19/23 02:52PM] Player picked up item: Coin, id: 995, amount: 800, owner: Some Guy	
[4/19/23 02:52PM] Player picked up item: Coin, id: 995, amount: 800, owner: Some Guy	
[4/19/23 02:52PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Some Guy	
[4/20/23 07:21AM] Player picked up item: Coin, id: 995, amount: 1602877, owner: Some Guy	
[4/20/23 07:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Some Guy	
[4/20/23 07:22AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Some Guy	
[4/20/23 07:22AM] Player picked up item: Coin, id: 995, amount: 2606162, owner: Some Guy	
[4/20/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Some Guy	
[4/20/23 07:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Some Guy	
[4/20/23 07:27AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Some Guy	
[4/20/23 07:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Some Guy	
[4/20/23 07:35AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Some Guy	
[4/20/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Some Guy	
[4/20/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Some Guy	
[4/20/23 07:41AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Some Guy	
[4/20/23 07:49AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Some Guy	
[4/20/23 07:49AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Some Guy	
[4/20/23 07:51AM] Player picked up item: Coin, id: 995, amount: 1152171, owner: Some Guy	
[4/20/23 07:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Some Guy	
[4/20/23 07:59AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Some Guy	
[4/20/23 07:59AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Some Guy	
[4/20/23 08:51AM] Player picked up item: Coin, id: 995, amount: 1425407, owner: Some Guy	
[4/20/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Some Guy	
[4/20/23 08:55AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Some Guy	
[4/20/23 09:01AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Some Guy	
