[4/20/23 08:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetsten	
[4/20/23 08:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruvk	
[4/20/23 08:40AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruvk	
[4/20/23 08:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:41AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetsten	
[4/20/23 08:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetsten	
[4/20/23 08:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:41AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetsten	
[4/20/23 08:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetsten	
[4/20/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruvk	
[4/20/23 08:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ruvk	
[4/20/23 08:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetsten	
[4/20/23 08:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ruvk	
[4/20/23 08:44AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ruvk	
[4/20/23 08:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:44AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetsten	
[4/20/23 08:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vetsten	
[4/20/23 08:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetsten	
[4/20/23 08:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vetsten	
[4/20/23 08:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vetsten	
