[4/22/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: S1n1	
[4/22/23 12:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: S1n1	
