[4/16/23 12:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kariko17	
[4/16/23 12:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
[4/16/23 12:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kariko17	
[4/16/23 12:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kariko17	
[4/16/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kariko17	
[4/16/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kariko17	
