[4/17/23 07:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:40AM] Player picked up item: Coin, id: 995, amount: 1259680, owner: Oblivion	
[4/17/23 07:40AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Oblivion	
[4/17/23 07:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:49AM] Player picked up item: Coin, id: 995, amount: 300, owner: Oblivion	
[4/17/23 07:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:49AM] Player picked up item: Coin, id: 995, amount: 300, owner: Oblivion	
[4/17/23 07:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:56AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Oblivion	
[4/17/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 07:59AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Oblivion	
[4/17/23 08:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 08:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 08:01AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:03AM] Player picked up item: Coin, id: 995, amount: 400, owner: Oblivion	
[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 500, owner: Oblivion	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 500, owner: Oblivion	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 500, owner: Oblivion	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Oblivion	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Oblivion	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Oblivion	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Oblivion	
