[4/15/23 06:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Cx Rsps	
[4/15/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cx Rsps	
[4/15/23 06:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Grimmy	
[4/15/23 06:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Grimmy	
[4/15/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Grimmy	
