[4/22/23 07:33AM] Player picked up item: Coin, id: 995, amount: 1750765, owner: Jelq	
[4/22/23 07:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Jelq	
[4/22/23 07:34AM] Player picked up item: Coin, id: 995, amount: 4007919, owner: Jelq	
[4/22/23 07:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Jelq	
[4/22/23 07:37AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Jelq	
[4/22/23 07:37AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Jelq	
[4/22/23 07:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jelq	
[4/22/23 07:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: PvM Casket, id: 2736, amount: 5, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: Fury shark, id: 17818, amount: 100, owner: Jelq	
[4/22/23 07:51AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Jelq	
