[4/16/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pokker	
[4/16/23 01:54PM] Player picked up item: Coin, id: 995, amount: 1299685, owner: Pokker	
[4/16/23 01:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/16/23 01:54PM] Player picked up item: Knight prayer scroll, id: 23165, amount: 1, owner: Pokker	
[4/16/23 02:30PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Pokker	
[4/16/23 02:31PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Pokker	
[4/16/23 02:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pokker	
[4/16/23 03:10PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Pokker	
[4/16/23 03:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Pokker	
[4/16/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Pokker	
[4/16/23 04:24PM] Player picked up item: Coin, id: 995, amount: 1331481, owner: Pokker	
[4/16/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/16/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Pokker	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/16/23 05:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pokker	
[4/16/23 05:03PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Pokker	
[4/16/23 05:06PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pokker	
[4/16/23 05:07PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pokker	
[4/16/23 05:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/16/23 05:27PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Pokker	
[4/16/23 05:28PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Pokker	
[4/16/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Pokker	
[4/16/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/16/23 06:27PM] Player picked up item: Coin, id: 995, amount: 4055904, owner: Pokker	
[4/16/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Pokker	
[4/17/23 05:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/17/23 05:42AM] Player picked up item: Coin, id: 995, amount: 1078994, owner: Pokker	
[4/17/23 05:42AM] Player picked up item: Coin, id: 995, amount: 2489016, owner: Pokker	
[4/17/23 05:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pokker	
[4/17/23 05:46AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pokker	
[4/17/23 05:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Pokker	
[4/17/23 06:11AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Pokker	
[4/17/23 06:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pokker	
[4/17/23 06:42AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Pokker	
[4/17/23 06:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Pokker	
[4/17/23 03:04PM] Player picked up item: Antique Boots, id: 8820, amount: 1, owner: Pokker	
[4/17/23 04:07PM] Player picked up item: Emerald Crossbow, id: 8088, amount: 1, owner: Like My Peep	
[4/19/23 05:44AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pokker	
[4/19/23 05:44AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pokker	
[4/19/23 05:44AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pokker	
[4/19/23 05:44AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pokker	
[4/19/23 05:45AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pokker	
