[4/19/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: God	
[4/19/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: God	
[4/19/23 01:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
[4/19/23 01:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: God	
