[4/19/23 12:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Veteran	
[4/19/23 12:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Custompope	
[4/19/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Custompope	
[4/19/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Custompope	
[4/19/23 12:54PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Custompope	
[4/19/23 12:54PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Custompope	
[4/19/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Custompope	
[4/19/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Custompope	
[4/19/23 12:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Custompope	
[4/19/23 01:14PM] Player picked up item: Coin, id: 995, amount: 1525934, owner: Custompope	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Custompope	
