[4/22/23 06:12AM] Player picked up item: Coin, id: 995, amount: 300, owner: Dealer	
[4/22/23 06:20AM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Dealer	
[4/22/23 06:21AM] Player picked up item: Coin, id: 995, amount: 500, owner: Dealer	
[4/22/23 06:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Coin, id: 995, amount: 500, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dealer	
[4/22/23 06:24AM] Player picked up item: Coin, id: 995, amount: 500, owner: Dealer	
[4/22/23 06:27AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Dealer	
[4/22/23 06:31AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Dealer	
[4/22/23 06:34AM] Player picked up item: Coin, id: 995, amount: 2174215, owner: Dealer	
[4/22/23 06:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dealer	
[4/22/23 06:35AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Dealer	
[4/22/23 06:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Dealer	
[4/22/23 06:36AM] Player picked up item: Super restore (2), id: 3028, amount: 1, owner: Dealer	
