[4/16/23 01:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Skedesvamp	
[4/16/23 01:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Skedesvamp	
[4/16/23 01:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Skedesvamp	
[4/16/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Skedesvamp	
[4/16/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Skedesvamp	
[4/16/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Skedesvamp	
[4/16/23 01:19AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:19AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Skedesvamp	
[4/16/23 01:19AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Skedesvamp	
[4/16/23 01:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:23AM] Player picked up item: Coin, id: 995, amount: 600, owner: Skedesvamp	
[4/16/23 01:23AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Skedesvamp	
[4/16/23 01:23AM] Player picked up item: Coin, id: 995, amount: 300, owner: Skedesvamp	
[4/16/23 01:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:29AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Coin, id: 995, amount: 400, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 01:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:31AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Skedesvamp	
[4/16/23 01:32AM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Skedesvamp	
[4/16/23 01:32AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Skedesvamp	
[4/16/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 128, owner: Skedesvamp	
[4/16/23 01:40AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Skedesvamp	
[4/16/23 01:41AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Skedesvamp	
[4/16/23 02:57AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Skedesvamp	
[4/16/23 02:57AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Skedesvamp	
[4/16/23 02:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 02:58AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Skedesvamp	
[4/16/23 02:59AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Skedesvamp	
[4/16/23 02:59AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Skedesvamp	
[4/16/23 03:01AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Skedesvamp	
[4/16/23 03:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Skedesvamp	
[4/16/23 03:03AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Skedesvamp	
[4/16/23 03:04AM] Player picked up item: Coin, id: 995, amount: 900, owner: Skedesvamp	
[4/16/23 03:06AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Skedesvamp	
[4/16/23 03:06AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Skedesvamp	
[4/16/23 03:25AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Skedesvamp	
[4/16/23 03:26AM] Player picked up item: Coin, id: 995, amount: 2244933, owner: Skedesvamp	
[4/16/23 03:26AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Skedesvamp	
[4/16/23 03:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Skedesvamp	
[4/16/23 03:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Skedesvamp	
[4/16/23 03:36AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Skedesvamp	
[4/16/23 03:42AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Skedesvamp	
[4/16/23 03:43AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Skedesvamp	
[4/16/23 03:47AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Skedesvamp	
[4/16/23 03:52AM] Player picked up item: Mystic book, id: 23027, amount: 1, owner: Skedesvamp	
[4/16/23 03:52AM] Player picked up item: Mystic book, id: 23027, amount: 1, owner: Skedesvamp	
[4/16/23 03:53AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Skedesvamp	
[4/16/23 04:05AM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: Skedesvamp	
[4/16/23 04:05AM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Skedesvamp	
[4/16/23 04:08AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Skedesvamp	
[4/16/23 04:13AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Skedesvamp	
[4/16/23 04:14AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Skedesvamp	
[4/16/23 04:14AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Skedesvamp	
