[4/16/23 03:42AM] Player picked up item: Coin, id: 995, amount: 500, owner: Ceo Of Rng	
[4/16/23 03:44AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:04AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:13PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:16PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:16PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:17PM] Player picked up item: Coin, id: 995, amount: 800, owner: Ceo Of Rng	
[4/16/23 04:19PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Ceo Of Rng	
[4/16/23 04:20PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Ceo Of Rng	
[4/16/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Ceo Of Rng	
[4/16/23 04:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Ceo Of Rng	
[4/16/23 04:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ceo Of Rng	
[4/16/23 04:31PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:31PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Ceo Of Rng	
[4/16/23 04:54PM] Player picked up item: Coin, id: 995, amount: 2270821, owner: Ceo Of Rng	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Ceo Of Rng	
[4/16/23 05:03PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ceo Of Rng	
[4/16/23 05:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Ceo Of Rng	
[4/16/23 05:06PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ceo Of Rng	
[4/16/23 05:06PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ceo Of Rng	
[4/16/23 05:18PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Ceo Of Rng	
[4/16/23 05:18PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Ceo Of Rng	
[4/16/23 05:24PM] Player picked up item: Coin, id: 995, amount: 2422205, owner: Ceo Of Rng	
[4/16/23 05:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ceo Of Rng	
[4/16/23 05:24PM] Player picked up item: Coin, id: 995, amount: 4280505, owner: Ceo Of Rng	
[4/16/23 05:24PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Ceo Of Rng	
[4/16/23 05:25PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Ceo Of Rng	
[4/16/23 05:25PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Ceo Of Rng	
[4/16/23 05:25PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Ceo Of Rng	
[4/16/23 05:25PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Ceo Of Rng	
[4/17/23 12:25AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Ceo Of Rng	
[4/17/23 03:55AM] Player picked up item: Coin, id: 995, amount: 800, owner: Ceo Of Rng	
[4/17/23 04:00AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Ceo Of Rng	
[4/17/23 04:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ceo Of Rng	
[4/17/23 06:43PM] Player picked up item: Coin, id: 995, amount: 28000, owner: Ceo Of Rng	
[4/17/23 06:44PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Ceo Of Rng	
[4/17/23 06:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Ceo Of Rng	
[4/17/23 06:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ceo Of Rng	
