[4/16/23 04:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Don Diego	
[4/16/23 04:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Don Diego	
[4/16/23 04:47AM] Player picked up item: Coin, id: 995, amount: 1109988, owner: Don Diego	
[4/16/23 04:47AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/16/23 04:48AM] Player picked up item: Coin, id: 995, amount: 2304166, owner: Don Diego	
[4/16/23 04:48AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/16/23 05:01AM] Player picked up item: Coin, id: 995, amount: 2098902, owner: Don Diego	
[4/16/23 05:01AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 1386535, owner: Don Diego	
[4/16/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 2402495, owner: Don Diego	
[4/16/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/16/23 05:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Don Diego	
[4/16/23 05:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Don Diego	
[4/16/23 05:30AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Don Diego	
[4/16/23 05:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Don Diego	
[4/16/23 05:54AM] Player picked up item: Coin, id: 995, amount: 1807070, owner: Don Diego	
[4/16/23 05:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/17/23 09:58PM] Player picked up item: Coin, id: 995, amount: 2039983, owner: Don Diego	
[4/17/23 09:58PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/17/23 09:59PM] Player picked up item: Coin, id: 995, amount: 2035198, owner: Don Diego	
[4/17/23 09:59PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/18/23 12:42AM] Player picked up item: Coin, id: 995, amount: 2330061, owner: Don Diego	
[4/18/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/18/23 12:42AM] Player picked up item: Coin, id: 995, amount: 2959403, owner: Don Diego	
[4/18/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/18/23 12:43AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Don Diego	
[4/18/23 12:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Don Diego	
[4/18/23 12:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Don Diego	
[4/18/23 12:45AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Don Diego	
[4/18/23 02:42AM] Player picked up item: Coin, id: 995, amount: 1125874, owner: Don Diego	
[4/18/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/18/23 02:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Don Diego	
[4/18/23 02:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Don Diego	
[4/18/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Don Diego	
[4/18/23 02:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Don Diego	
[4/18/23 03:42AM] Player picked up item: Coin, id: 995, amount: 2344874, owner: Don Diego	
[4/18/23 03:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/18/23 03:43AM] Player picked up item: Coin, id: 995, amount: 2531129, owner: Don Diego	
[4/18/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/18/23 04:42AM] Player picked up item: Coin, id: 995, amount: 2120599, owner: Don Diego	
[4/18/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Don Diego	
[4/18/23 04:43AM] Player picked up item: Coin, id: 995, amount: 2036238, owner: Don Diego	
[4/18/23 04:43AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Don Diego	
[4/18/23 04:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Don Diego	
[4/18/23 04:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Don Diego	
[4/18/23 04:45AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Don Diego	
[4/18/23 04:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Don Diego	
