[4/17/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Muddyboy	
[4/17/23 11:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 200, owner: Muddyboy	
[4/17/23 11:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Muddyboy	
