[4/22/23 03:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bigsmasher	
[4/22/23 03:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bigsmasher	
[4/22/23 03:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Gon To Kill	
[4/22/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
[4/22/23 03:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gon To Kill	
[4/22/23 03:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Gon To Kill	
