[4/22/23 07:31AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua V2	
[4/22/23 07:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua V2	
[4/22/23 07:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Killua V2	
[4/22/23 07:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua V2	
[4/22/23 07:34AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Killua V2	
[4/22/23 07:35AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Killua V2	
[4/22/23 07:37AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Killua V2	
[4/22/23 07:37AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Killua V2	
[4/22/23 07:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killua V2	
[4/22/23 07:38AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Killua V2	
[4/22/23 07:39AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Killua V2	
[4/22/23 07:40AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Killua V2	
[4/22/23 07:46AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Killua V2	
[4/22/23 07:50AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Killua V2	
[4/22/23 07:57AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Killua V2	
[4/22/23 07:57AM] Player picked up item: Coin, id: 995, amount: 300, owner: Killua V2	
[4/22/23 08:05AM] Player picked up item: Coin, id: 995, amount: 1163194, owner: Killua V2	
[4/22/23 08:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Killua V2	
[4/22/23 08:06AM] Player picked up item: Coin, id: 995, amount: 400, owner: Killua V2	
[4/22/23 08:07AM] Player picked up item: Coin, id: 995, amount: 400, owner: Killua V2	
[4/22/23 09:04AM] Player picked up item: Coin, id: 995, amount: 1329109, owner: Killua V2	
[4/22/23 09:04AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Killua V2	
[4/22/23 09:05AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Killua V2	
[4/22/23 09:05AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Killua V2	
