[4/23/23 12:17PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Azo	
[4/23/23 12:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Azo	
[4/23/23 12:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Azo	
[4/23/23 12:36PM] Player picked up item: Coin, id: 995, amount: 400, owner: Azo	
[4/23/23 12:36PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Azo	
[4/23/23 12:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Azo	
[4/23/23 12:50PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Azo	
[4/24/23 07:50AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Azo	
[4/24/23 07:50AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Azo	
[4/24/23 12:03PM] Player picked up item: Coin, id: 995, amount: 2121726, owner: Azo	
[4/25/23 03:20AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Azo	
[4/25/23 03:20AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Azo	
[4/25/23 03:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Azo	
[4/25/23 03:23AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Azo	
[4/25/23 03:33AM] Player picked up item: Coin, id: 995, amount: 1847603, owner: Azo	
[4/25/23 03:50AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Azo	
[4/25/23 03:52AM] Player picked up item: Coin, id: 995, amount: 700, owner: Azo	
[4/25/23 03:53AM] Player picked up item: Coin, id: 995, amount: 700, owner: Azo	
[4/25/23 07:27AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Azo	
