[4/19/23 01:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ardijan	
[4/19/23 01:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ardijan	
[4/19/23 02:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ardijan	
[4/19/23 02:08PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Ardijan	
[4/19/23 02:08PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ardijan	
[4/19/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ardijan	
[4/19/23 02:15PM] Player picked up item: Coin, id: 995, amount: 2187780, owner: Ardijan	
[4/19/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 23, owner: Ardijan	
[4/19/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 22, owner: Ardijan	
[4/19/23 02:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ardijan	
[4/19/23 02:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ardijan	
[4/19/23 02:19PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Ardijan	
[4/19/23 02:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Ardijan	
[4/19/23 02:20PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Ardijan	
[4/19/23 02:24PM] Player picked up item: Lava bones, id: 2023, amount: 11, owner: Ardijan	
[4/19/23 02:24PM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Ardijan	
[4/19/23 02:24PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Ardijan	
[4/19/23 02:24PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Ardijan	
[4/19/23 02:29PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ardijan	
[4/19/23 02:29PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ardijan	
[4/19/23 02:45PM] Player picked up item: Coin, id: 995, amount: 1475948, owner: Ardijan	
[4/19/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ardijan	
