[4/15/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:29AM] Player picked up item: Coin, id: 995, amount: 2933936, owner: Bookie	
[4/15/23 11:29AM] Player picked up item: Owner cape goodiebag, id: 3578, amount: 1, owner: Bookie	
[4/15/23 11:30AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bookie	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bookie	
[4/15/23 11:39AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Bookie	
[4/15/23 11:39AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Bookie	
[4/15/23 11:40AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Bookie	
[4/15/23 11:59AM] Player picked up item: Coin, id: 995, amount: 1928109, owner: Bookie	
[4/15/23 12:01PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Bookie	
[4/15/23 12:01PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Bookie	
[4/15/23 12:13PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Bookie	
[4/15/23 12:13PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Bookie	
[4/15/23 12:13PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Bookie	
[4/15/23 12:29PM] Player picked up item: Coin, id: 995, amount: 1023200, owner: Bookie	
[4/15/23 12:30PM] Player picked up item: Coin, id: 995, amount: 4104631, owner: Bookie	
[4/15/23 12:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bookie	
[4/15/23 12:31PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bookie	
[4/21/23 07:04AM] Player picked up item: Coin, id: 995, amount: 1545838, owner: Bookie	
[4/21/23 07:04AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bookie	
[4/21/23 07:27AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bookie	
[4/21/23 07:34AM] Player picked up item: Coin, id: 995, amount: 1696442, owner: Bookie	
[4/21/23 07:36AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Bookie	
[4/21/23 07:44AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bookie	
[4/21/23 07:44AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Bookie	
[4/21/23 07:52AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bookie	
[4/21/23 07:52AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bookie	
[4/21/23 07:55AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Bookie	
[4/21/23 08:09AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Bookie	
[4/21/23 02:02PM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: Bookie	
[4/21/23 02:09PM] Player picked up item: Mystic boots, id: 23025, amount: 1, owner: Bookie	
[4/23/23 12:38PM] Player picked up item: Nightmare body, id: 23029, amount: 1, owner: Bookie	
