[4/17/23 06:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Code0	
[4/17/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Code0	
[4/17/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Code0	
[4/17/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Code0	
[4/17/23 06:41AM] Player picked up item: Coin, id: 995, amount: 1743152, owner: Mr Code0	
[4/17/23 06:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mr Code0	
[4/17/23 06:41AM] Player picked up item: Coin, id: 995, amount: 3826303, owner: Mr Code0	
[4/17/23 06:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Mr Code0	
[4/17/23 06:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Mr Code0	
[4/17/23 07:49AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Mr Code0	
[4/17/23 07:49AM] Player picked up item: Coin, id: 995, amount: 500, owner: Mr Code0	
[4/17/23 07:51AM] Player picked up item: Coin, id: 995, amount: 500, owner: Mr Code0	
[4/17/23 08:40AM] Player picked up item: Coin, id: 995, amount: 1709960, owner: Mr Code0	
[4/17/23 08:40AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mr Code0	
[4/17/23 08:41AM] Player picked up item: Coin, id: 995, amount: 3781746, owner: Mr Code0	
[4/17/23 08:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Mr Code0	
[4/17/23 08:48AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Mr Code0	
[4/17/23 08:48AM] Player picked up item: Coin, id: 995, amount: 600, owner: Mr Code0	
[4/17/23 08:53AM] Player picked up item: Coin, id: 995, amount: 700, owner: Mr Code0	
[4/17/23 08:59AM] Player picked up item: Coin, id: 995, amount: 800, owner: Mr Code0	
[4/17/23 09:00AM] Player picked up item: Coin, id: 995, amount: 800, owner: Mr Code0	
[4/17/23 09:00AM] Player picked up item: Coin, id: 995, amount: 2400, owner: Mr Code0	
[4/17/23 09:00AM] Player picked up item: Coin, id: 995, amount: 800, owner: Mr Code0	
[4/17/23 09:01AM] Player picked up item: Coin, id: 995, amount: 800, owner: Mr Code0	
[4/17/23 09:01AM] Player picked up item: Coin, id: 995, amount: 800, owner: Mr Code0	
[4/17/23 09:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Code0	
[4/17/23 09:09AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mr Code0	
[4/17/23 09:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Code0	
[4/17/23 09:11AM] Player picked up item: Coin, id: 995, amount: 2000195, owner: Mr Code0	
[4/17/23 09:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mr Code0	
[4/17/23 10:08AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Mr Code0	
[4/17/23 10:08AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mr Code0	
[4/18/23 08:02AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mr Code0	
[4/18/23 08:04AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Mr Code0	
[4/18/23 08:12AM] Player picked up item: Coin, id: 995, amount: 2290178, owner: Mr Code0	
[4/18/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Mr Code0	
