[4/15/23 03:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Lawker	
[4/15/23 03:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 03:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Lawker	
[4/15/23 04:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lawker	
