[4/17/23 05:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Snjuu	
[4/17/23 05:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Snjuu	
[4/17/23 05:19AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Snjuu	
[4/17/23 05:22AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Snjuu	
[4/17/23 05:22AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Snjuu	
[4/17/23 05:22AM] Player picked up item: Coin, id: 995, amount: 300, owner: Snjuu	
