[4/21/23 04:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dusty Nuggz	
[4/21/23 04:17PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dusty Nuggz	
[4/21/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dusty Nuggz	
[4/21/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:19PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dusty Nuggz	
[4/21/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:21PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dusty Nuggz	
[4/21/23 04:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dusty Nuggz	
[4/21/23 04:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
[4/21/23 04:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dusty Nuggz	
[4/21/23 04:26PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dusty Nuggz	
